retail_type,date_period,turnover_index,average_anual_variation_rate,Year_on_year_rate_of_change,monthly_rate_of_change
,Agosto de 2023,170.51,10.7,9.9,4.9
,Julho de 2023,,,,
,Junho de 2023,144.44,11.6,7.6,-2.4
,Maio de 2023,148.03,11.9,9.5,0.4
,Abril de 2023,147.39,12.1,10.6,2.6
,Março de 2023,143.61,12.3,10.3,12.6
,Fevereiro de 2023,127.58,12,13.7,-4
,Janeiro de 2023,132.92,11.4,13.7,-23.6
,Dezembro de 2022,174.04,10.7,11.2,24.1
,Novembro de 2022,140.23,10.6,10.8,-3.3
,Outubro de 2022,145.04,10.5,12.6,4
,Setembro de 2022,139.48,10,12.6,-10.1
,Agosto de 2022,155.1,9.4,12.9,2.4
,Julho de 2022,151.52,8.7,14.3,12.9
,Junho de 2022,134.21,7.9,11.6,-0.7
,Maio de 2022,135.14,7.6,11.8,1.4
,Abril de 2022,133.28,6.9,12.8,2.3
,Março de 2022,130.23,6.6,5.7,16.1
,Fevereiro de 2022,112.18,6.3,5.6,-4
,Janeiro de 2022,116.86,5.7,5.1,-25.3
,Dezembro de 2021,156.53,5.5,9.8,23.7
,Novembro de 2021,126.56,4.8,9.7,-1.8
,Outubro de 2021,128.85,4.1,6.2,4.1
,Setembro de 2021,123.82,3.9,5.1,-9.8
,Agosto de 2021,137.34,3.6,5.5,3.6
,Julho de 2021,132.6,2.9,6,10.3
,Junho de 2021,120.26,2.4,7,-0.5
,Maio de 2021,120.92,1.6,3.2,2.3
,Abril de 2021,118.17,1.4,10.6,-4.1
,Março de 2021,123.25,0.3,1.3,16
,Fevereiro de 2021,106.27,0.8,-1.8,-4.4
,Janeiro de 2021,111.16,1.7,2.5,-22
,Dezembro de 2020,142.56,2,2.7,23.6
,Novembro de 2020,115.36,1.8,0.3,-4.9
,Outubro de 2020,121.31,1.9,4.9,3
,Setembro de 2020,117.81,1.6,1.2,-9.5
,Agosto de 2020,130.16,1.7,-1.9,4.1
,Julho de 2020,125.06,2.2,0.4,11.3
,Junho de 2020,112.35,2.4,-3.2,-4.2
,Maio de 2020,117.22,3,1.4,9.8
,Abril de 2020,106.8,3.1,-4.9,-12.2
,Março de 2020,121.69,4.3,8.1,12.5
,Fevereiro de 2020,108.19,3.6,11.8,-0.3
,Janeiro de 2020,108.48,3,5.4,-21.9
,Dezembro de 2019,138.85,2.9,0.9,20.7
,Novembro de 2019,115.01,3.2,3.2,-0.5
,Outubro de 2019,115.61,3.3,1.9,-0.7
,Setembro de 2019,116.43,3.7,1.2,-12.3
,Agosto de 2019,132.7,4,2.2,6.5
,Julho de 2019,124.59,4.5,2.9,7.3
,Junho de 2019,116.11,4.5,3.7,0.4
,Maio de 2019,115.65,4.6,3.5,3
,Abril de 2019,112.3,5,9.6,-0.3
,Março de 2019,112.61,3.9,-0.7,16.4
,Fevereiro de 2019,96.78,4.9,3.2,-5.9
,Janeiro de 2019,102.88,4.9,4.7,-25.3
"4711: Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco",Outubro de 2023,156.04,10,5.7,-0.9
,Setembro de 2023,157.44,10.6,11.7,-9.2
,Agosto de 2023,173.3,10.6,10.3,4.8
,Julho de 2023,,,,
,Junho de 2023,145.8,11.4,7.5,-2.5
,Maio de 2023,149.51,11.7,9,-0.3
,Abril de 2023,149.99,11.9,10.7,2.6
,Março de 2023,146.16,12,10.1,12.2
,Fevereiro de 2023,130.24,11.6,13.9,-4.2
,Janeiro de 2023,135.89,10.9,13.4,-23.5
,Dezembro de 2022,177.53,10.3,11.1,24.2
,Novembro de 2022,142.93,10.2,10.6,-3.1
,Outubro de 2022,147.56,10.1,12.5,4.7
,Setembro de 2022,140.96,9.5,12.1,-10.3
,Agosto de 2022,157.06,8.9,12.3,2.1
,Julho de 2022,153.87,8.2,13.8,13.4
,Junho de 2022,135.65,7.5,10.9,-1.1
,Maio de 2022,137.12,7.2,11.3,1.2
,Abril de 2022,135.46,6.4,12.3,2.1
,Março de 2022,132.72,6.2,5,16.1
,Fevereiro de 2022,114.34,5.9,4.7,-4.6
,Janeiro de 2022,119.81,5.5,5,-25
,Dezembro de 2021,159.8,5.5,9.9,23.7
,Novembro de 2021,129.18,4.8,9.3,-1.5
,Outubro de 2021,131.14,4.1,5.9,4.3
,Setembro de 2021,125.71,4.2,4.7,-10.1
,Agosto de 2021,139.85,3.9,5,3.4
,Julho de 2021,135.22,3.4,5.9,10.5
,Junho de 2021,122.33,3.1,6.5,-0.7
,Maio de 2021,123.17,2.4,2,2.1
,Abril de 2021,120.66,2.5,10.2,-4.5
,Março de 2021,126.36,1.5,1.6,15.7
,Fevereiro de 2021,109.2,2.1,-0.4,-4.3
,Janeiro de 2021,114.08,2.9,3.9,-21.5
,Dezembro de 2020,145.36,3,3.4,22.9
,Novembro de 2020,118.23,2.8,1.1,-4.5
,Outubro de 2020,123.82,2.9,6.3,3.2
,Setembro de 2020,120.01,2.5,1.9,-9.9
,Agosto de 2020,133.16,2.5,-0.5,4.3
,Julho de 2020,127.68,2.7,1.7,11.1
,Junho de 2020,114.88,2.8,-2.2,-4.9
,Maio de 2020,120.77,3.4,3.8,10.3
,Abril de 2020,109.48,3.4,-3.2,-11.9
,Março de 2020,124.31,4.4,9,13.4
,Fevereiro de 2020,109.63,3.6,12,-0.2
,Janeiro de 2020,109.82,3,5.5,-21.9
,Dezembro de 2019,140.64,3,0.4,20.3
,Novembro de 2019,116.92,3.4,3.2,0.4
,Outubro de 2019,116.43,3.6,1.6,-1.2
,Setembro de 2019,117.8,4,1.2,-11.9
,Agosto de 2019,133.78,4.4,2,6.5
,Julho de 2019,125.58,5,2.8,7
,Junho de 2019,117.41,5.1,4.5,0.9
,Maio de 2019,116.39,5.2,3.7,2.9
,Abril de 2019,113.11,5.6,9.5,-0.9
,Março de 2019,114.08,4.5,0,16.5
,Fevereiro de 2019,97.9,5.6,3.5,-6
,Janeiro de 2019,104.12,5.6,5.1,-25.6
"472: Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados",Outubro de 2023,124.18,9.3,1.5,-6.4
,Setembro de 2023,132.63,10.3,5.2,-8.8
,Agosto de 2023,145.36,11.4,5.7,6.5
,Julho de 2023,,,,
,Junho de 2023,132.25,14,9,-1.8
,Maio de 2023,134.7,14.9,14.8,8.7
,Abril de 2023,123.96,15.1,9.1,2.8
,Março de 2023,120.6,15.9,11.8,16.3
,Fevereiro de 2023,103.68,16,11.8,-2.4
,Janeiro de 2023,106.19,16.4,17.6,-25.5
,Dezembro de 2022,142.58,15.6,12.2,23
,Novembro de 2022,115.93,15.2,12.6,-5.2
,Outubro de 2022,122.33,15.5,13,-3
,Setembro de 2022,126.12,15.2,18.1,-8.3
,Agosto de 2022,137.5,14.4,19.9,5.5
,Julho de 2022,130.32,13.6,19.6,7.4
,Junho de 2022,121.3,12.5,19.3,3.4
,Maio de 2022,117.3,12,16.6,3.3
,Abril de 2022,113.6,12,18.7,5.3
,Março de 2022,107.87,11.7,13.3,16.3
,Fevereiro de 2022,92.76,10.3,16.2,2.7
